,,Factor,Factor,Factor,Factor,Factor,Institution,Institution,Production,Production,Production,Production,Production,Production,Activities,Activities,Activities,Activities,Activities,Activities,Other
,,Labor,Capital,Coal,Nuclear,Electricity,Household,Govt,Agriculture,Industry,Services,Utility,Coal,Nuclear,Agriculture,Industry,Services,Utility,Coal,Nuclear,Capital Accumulation
Factor,Labor,,,,,,,,,,,,,,1300,2000,4000,,200,200,
Factor,Capital,,,,,,,,,,,,,,300,2100,600,,400,300,
Factor,Coal,,,,,,,,,,,,,,,,,,850,,
Factor,Nuclear,,,,,,,,,,,,,,,,,,,1200,
Factor,Electricity,,,,,,,,,,,,,,1400,1800,1300,,,,
Institution,Household,7700,3700,850,1200,,,,,,,,,,,,,,,,
Institution,Govt,,,,,,1350,,,,,,,,,,,,,,
Production,Agriculture,,,,,,2500,350,,,,,,,530,800,1100,,20,400,50
Production,Industry,,,,,,4000,0,,,,,,,850,2890,2150,,510,100,800
Production,Services,,,,,,4650,1000,,,,,,,1370,1710,1300,,20,300,100
Production,Utility,,,,,4500,,,,,,,,,,,,,,,
Production,Coal,,,,,,,,,,,,,,,,,2000,,,
Production,Nuclear,,,,,,,,,,,,,,,,,2500,,,
Activities,Agriculture,,,,,,,,5750,,,,,,,,,,,,
Activities,Industry,,,,,,,,,11300,,,,,,,,,,,
Activities,Services,,,,,,,,,,10450,,,,,,,,,,
Activities,Utility,,,,,,,,,,,4500,,,,,,,,,
Activities,Coal,,,,,,,,,,,,2000,,,,,,,,
Activities,Nuclear,,,,,,,,,,,,,2500,,,,,,,
Other,Capital Accumulation,,,,,,950,,,,,,,,,,,,,,
