,,Factor,Factor,Factor,Institution,Institution,Institution,Production,Production,Production,Activities,Activities,Activities,Other
,,Labor,Capital,Energy,Household,Firms,Govt,Agriculture,Industry,Services,Agriculture,Industry,Services,Capital Accumulation
Factor,Labor,,,,,,,,,,1300,1900,3000,
Factor,Capital,,,,,,,,,,600,1000,500,
Factor,Energy,,,,,,,,,,540,2000,1000,
Institution,Household,6200,,3540,,2100,,,,,,,,
Institution,Firms,,2100,,,,,,,,,,,
Institution,Govt,,,,3040,,,300,1020,280,,,,
Production,Agriculture,,,,2850,,650,,,,1000,1000,1000,50
Production,Industry,,,,1700,,1500,,,,1310,5290,2230,490
Production,Services,,,,3800,,2300,,,,1500,310,2620,100
Activities,Agriculture,,,,,,,6250,,,,,,
Activities,Industry,,,,,,,,11500,,,,,
Activities,Services,,,,,,,,,10350,,,,
Other,Capital Accumulation,,,,450,,190,,,,,,,
