,,Factor,Factor,Institution,Institution,Production,Production,Activities,Activities,Income Tax,Sales Tax,Sales Tax,Use Tax,Use Tax,Other,
,,Labor,Capital,Household,Govt,Milk,Bread,Milk,Bread,Household,Milk,Bread,Labor,Capital,Investment,
Factor,Labor,,,,,,,2000,6000,,,,,,,8000
Factor,Capital,,,,,,,2500,700,,,,,,,3200
Institution,Household,8000,3200,,,,,,,,,,,,,11200
Institution,Govt,,,,,,,,,800,300,1000,1700,1500,,5300
Production,Milk,,,2000,4000,,,1500,700,,,,,,1000,9200
Production,Bread,,,5830,1170,,,1700,1100,,,,,,400,10200
Activities,Milk,,,,,7700,,,,,,,,,,7700
Activities,Bread,,,,,,8500,,,,,,,,,8500
Income Tax,Household,,,800,,,,,,,,,,,,800
Sales Tax,Milk,,,300,,,,,,,,,,,,300
Sales Tax,Bread,,,1000,,,,,,,,,,,,1000
Use Tax,Labor,,,,,500,1200,,,,,,,,,1700
Use Tax,Capital,,,,,1000,500,,,,,,,,,1500
Other,Investment,,,1270,130,,,,,,,,,,,1400
,,,,,,,,,,,,,,,,
,,8000,3200,11200,5300,9200,10200,7700,8500,800,300,1000,1700,1500,1400,
,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
